Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
75	5096	1	66	1.0	0.8620689655172413	66.0	58.57471264367816	3888	607431	20	3073	20.0	44.689655172413794	3073.0	6981.9655172413795	voice
84	5712	9	616	9.0	0.9545454545454546	616.0	64.9090909090909	3888	607431	20	3073	20.0	44.689655172413794	3073.0	6981.9655172413795	voice
84	5712	9	616	9.0	0.9545454545454546	616.0	64.9090909090909	3925	612486	37	5055	37.0	44.60227272727273	5055.0	6960.068181818182	voice
84	5712	0	0	0.0	0.9438202247191011	0.0	64.17977528089888	3925	612486	37	5055	37.0	44.60227272727273	5055.0	6960.068181818182	voice
84	5712	0	0	0.0	0.9438202247191011	0.0	64.17977528089888	3973	620070	48	7584	48.0	44.640449438202246	7584.0	6967.078651685393	voice
84	5712	0	0	0.0	0.9333333333333333	0.0	63.46666666666667	3973	620070	48	7584	48.0	44.640449438202246	7584.0	6967.078651685393	voice
84	5712	0	0	0.0	0.9333333333333333	0.0	63.46666666666667	4021	627654	48	7584	48.0	44.67777777777778	7584.0	6973.933333333333	voice
84	5712	0	0	0.0	0.9230769230769231	0.0	62.76923076923077	4021	627654	48	7584	48.0	44.67777777777778	7584.0	6973.933333333333	voice
84	5712	0	0	0.0	0.9230769230769231	0.0	62.76923076923077	4070	635396	49	7742	49.0	44.72527472527472	7742.0	6982.373626373626	voice
84	5712	0	0	0.0	0.9130434782608695	0.0	62.08695652173913	4070	635396	49	7742	49.0	44.72527472527472	7742.0	6982.373626373626	voice
84	5712	0	0	0.0	0.9130434782608695	0.0	62.08695652173913	4118	642980	48	7584	48.0	44.76086956521739	7584.0	6988.913043478261	voice
84	5712	0	0	0.0	0.9032258064516129	0.0	61.41935483870968	4118	642980	48	7584	48.0	44.76086956521739	7584.0	6988.913043478261	voice
